,Latitude and Longitude,Class of Land,max_ndvi,min_ndvi,target
0,"(10.323727047081501, 105.2516346045924)",Rice,0.9009753081128737,0.014292825143994861,1
1,"(10.322364360592521, 105.27843410554115)",Rice,0.8889404696886948,0.010549538708383455,1
2,"(10.321455902933202, 105.25254306225168)",Rice,0.881617481414733,0.030605871330418474,1
3,"(10.324181275911162, 105.25118037576274)",Rice,0.8770156372801431,-0.014807959278112013,1
4,"(10.324635504740822, 105.27389181724476)",Rice,0.8972558164759478,-0.025046655534819762,1
5,"(10.323727047081501, 105.28070524968936)",Rice,0.9115850605787523,0.05120741699008198,1
6,"(10.325089733570481, 105.23937042619212)",Rice,0.7923447654931869,-0.002187620640844246,1
7,"(10.324181275911162, 105.25390574874059)",Rice,0.8923740282629905,0.006711568001890603,1
8,"(10.321001674103542, 105.24436694331814)",Rice,0.9055073508586731,-0.0001222593528404645,1
9,"(10.321001674103542, 105.2416415703403)",Rice,0.8918710812891871,0.0295670714440391,1
10,"(10.324635504740822, 105.25572266405916",Rice,0.8724905085659737,-0.055940822931114194,1
11,"(10.321001674103542, 105.2334654514068)",Rice,0.8854754871931729,-0.008040828315464876,1
12,"(10.32327281825184, 105.26753261362978)",Rice,0.907924716751459,0.008493644492089506,1
13,"(10.324181275911162, 105.28115947851899)",Rice,0.9129324186250184,0.059311515681571204,1
14,"(10.321001674103542, 105.2598107235259)",Rice,0.8860570098597133,0.03601289687961089,1
15,"(10.32327281825184, 105.24073311268103)",Rice,0.8518807133223437,0.0753409289222408,1
16,"(10.324635504740822, 105.27843410554115)",Rice,0.9065031298809798,0.03585197062048321,1
17,"(10.324181275911162, 105.2348281378957)",Rice,0.633639244101645,0.027285113717087226,1
18,"(10.321455902933202, 105.23301122257715)",Rice,0.8830365465396396,-0.0161698116812401,1
19,"(10.323727047081501, 105.26026495235556)",Rice,0.8602239183043906,0.0468925603745033,1
20,"(10.325089733570481, 105.28025102085971)",Rice,0.9135129628686395,0.054870800225239255,1
21,"(10.32009321644422, 105.23210276491787)",Rice,0.8935631018753168,0.018648680629511322,1
22,"(10.322364360592521, 105.27797987671151)",Rice,0.8912223594851986,0.08592289783471235,1
23,"(10.32327281825184, 105.27752564788187)",Rice,0.9024124351570012,0.03962496083299184,1
24,"(10.324635504740822, 105.2652614694816)",Rice,0.9145020150406147,0.006326045298178355,1
25,"(10.320547445273881, 105.2266520189622)",Rice,0.7815058178177505,0.006384356783764611,1
26,"(10.323727047081501, 105.2652614694816)",Rice,0.9000147827606134,-0.03639202285916284,1
27,"(10.325089733570481, 105.23528236672536)",Rice,0.6437571448312249,0.04304440940434443,1
28,"(10.324635504740822, 105.26798684245944)",Rice,0.9107116371510785,-0.07288135593220335,1
29,"(10.32281858942218, 105.26435301182232)",Rice,0.8910171979076507,0.06430495469757569,1
30,"(10.325089733570481, 105.26344455416304)",Rice,0.8975305224959251,-0.02464111846211466,1
31,"(10.323727047081501, 105.24572962980707)",Rice,0.9139394483758588,0.010323621893869815,1
32,"(10.324635504740822, 105.2334654514068)",Rice,0.7285515464510415,-0.052682068910384496,1
33,"(10.325089733570481, 105.23164853608824)",Rice,0.8068652967876361,-0.01577624135763672,1
34,"(10.32327281825184, 105.26571569831123)",Rice,0.888062666742351,-0.005506880345774804,1
35,"(10.31963898761456, 105.23074007842897)",Rice,0.8975088189450081,-0.004566359514885677,1
36,"(10.320547445273881, 105.22983162076967)",Rice,0.8164642178732323,0.09335876369327083,1
37,"(10.32281858942218, 105.28115947851899)",Rice,0.8847524047025295,0.009282451745984972,1
38,"(10.321910131762861, 105.23028584959931)",Rice,0.8553251464888356,0.054932735426008995,1
39,"(10.324181275911162, 105.26071918118518)",Rice,0.9145497092953127,0.0068232421173598295,1
40,"(10.325089733570481, 105.26026495235556)",Rice,0.9184169824909385,0.00586376617852589,1
41,"(10.325089733570481, 105.2448211721478)",Rice,0.8768447550080735,0.03532907998919342,1
42,"(10.324181275911162, 105.24300425682924)",Rice,0.8815843554632573,-0.020930154802902168,1
43,"(10.32281858942218, 105.27570873256332)",Rice,0.8666220213181539,0.07833051403321019,1
44,"(10.323727047081501, 105.28252216500792)",Rice,0.9028119638994555,0.048035976286188005,1
45,"(10.31963898761456, 105.23937042619212)",Rice,0.8251046825671329,0.035624999999999976,1
46,"(10.32281858942218, 105.28161370734864)",Rice,0.8849554333806501,0.019731136166522122,1
47,"(10.324635504740822, 105.28161370734864)",Rice,0.9122896417225002,0.06168271828613204,1
48,"(10.32327281825184, 105.26117341001483)",Rice,0.8905541340048467,0.03429594494047625,1
49,"(10.32327281825184, 105.2788883343708)",Rice,0.9014380224220575,0.020114740662685846,1
50,"(10.324181275911162, 105.2516346045924)",Rice,0.882287300990022,0.0014039004752964875,1
51,"(10.323727047081501, 105.23982465502175)",Rice,0.8764886311423499,0.005202741762325543,1
52,"(10.31963898761456, 105.23028584959931)",Rice,0.9026202161611285,0.0030876784153801473,1
53,"(10.32327281825184, 105.28706445330431)",Rice,0.8928248205886476,-0.004084166097697237,1
